Id,Label,timeset,modularity_class,node_size
148,148,,0,1
157,157,,1,1
165,165,,1,2
174,174,,1,3
182,182,,1,1
198,198,,1,1
201,201,,1,1
210,210,,1,1
224,224,,1,1
241,241,,1,1
279,279,,1,1
300,300,,1,2
338,338,,1,3
347,347,,1,1
369,369,,1,1
407,407,,0,1
437,437,,1,1
442,442,,1,2
374,374,,2,3
451,451,,2,1
257,257,,1,1
464,464,,0,1
28,28,,1,1
276,276,,1,1
287,287,,1,1
48,48,,1,1
154,154,,1,1
255,255,,1,1
266,266,,1,1
268,268,,1,1
314,314,,1,1
329,329,,1,2
340,340,,1,1
370,370,,1,1
377,377,,1,1
382,382,,1,4
384,384,,1,1
20,20,,1,1
33,33,,1,1
51,51,,1,1
63,63,,1,1
95,95,,1,1
129,129,,1,2
166,166,,1,1
181,181,,1,1
231,231,,1,1
232,232,,1,4
243,243,,1,1
270,270,,1,2
301,301,,1,1
304,304,,1,2
317,317,,1,1
319,319,,1,1
332,332,,1,2
363,363,,1,1
388,388,,1,1
422,422,,1,1
360,360,,1,1
38,38,,1,1
77,77,,1,4
131,131,,1,1
185,185,,1,2
205,205,,1,1
212,212,,1,1
219,219,,1,1
237,237,,1,1
269,269,,1,1
281,281,,1,1
298,298,,1,1
306,306,,1,1
315,315,,1,1
316,316,,1,1
330,330,,1,1
346,346,,1,1
361,361,,1,3
371,371,,1,1
398,398,,1,2
420,420,,1,1
455,455,,1,3
472,472,,1,1
474,474,,1,1
25,25,,1,2
118,118,,1,2
130,130,,1,1
147,147,,1,1
292,292,,1,1
350,350,,1,1
75,75,,1,1
139,139,,1,1
253,253,,1,3
271,271,,1,1
114,114,,1,1
299,299,,1,2
318,318,,1,1
378,378,,1,1
397,397,,1,1
69,69,,1,1
91,91,,1,2
140,140,,1,1
242,242,,1,2
307,307,,1,1
334,334,,1,1
337,337,,1,2
386,386,,1,2
409,409,,1,1
430,430,,1,1
278,278,,1,1
144,144,,1,1
417,417,,1,1
186,186,,1,1
463,463,,1,1
43,43,,1,1
46,46,,2,1
66,66,,2,1
111,111,,2,2
162,162,,2,2
203,203,,2,1
236,236,,2,1
277,277,,2,1
138,138,,1,1
391,391,,1,1
190,190,,1,3
479,479,,1,1
357,357,,1,1
359,359,,2,1
85,85,,0,1
92,92,,0,1
343,343,,0,1
327,327,,1,1
358,358,,1,1
128,128,,0,1
415,415,,1,1
245,245,,1,1
321,321,,1,1
152,152,,1,1
170,170,,1,3
401,401,,1,1
445,445,,1,1
460,460,,1,1
