degree,clustering_coef,betweenness,eigenvector,closeness
37.06824146,0.185391561,0.107448531,0.128421071,0.1041334
25.77080996,0.152595072,0,0.086084394,0.089724789
36.06356989,0.181957571,0.006130002,0.12819356,0.102997416
35.92606416,0.182527904,0,0.125221577,0.102906957
35.31521695,0.181160302,0,0.124995458,0.102199837
23.13396091,0.126017467,0.015151515,0.048268998,0.084993614
29.13810163,0.161242104,0,0.100809925,0.094624212
31.16698942,0.177874598,0,0.077608249,0.097541563
39.36425221,0.193171296,0.000231321,0.138482416,0.106351806
22.05588695,0.109903887,0.015151515,0.04666812,0.082810715
23.43767355,0.130268846,0,0.050703634,0.085445605
23.12167539,0.123603631,0.000925283,0.04887788,0.084857422
43.13472196,0.230220747,0,0.134376349,0.110226709
23.10911788,0.159991385,0,0.057499117,0.08561134
23.06504088,0.119903317,0.000231321,0.046734248,0.08483585
29.80451868,0.15531806,0.000231321,0.067989776,0.095447244
25.92460895,0.125333967,0.160767985,0.053985615,0.089584615
41.90485119,0.206238927,0,0.145206477,0.108782649
36.90427223,0.184452231,0.006361323,0.129587037,0.103899877
37.83713973,0.19239442,0.000231321,0.130922521,0.104935345
3.151846657,0.035548183,0.612306269,0.006839005,0.02100094
33.98438493,0.191199321,0,0.087759289,0.100995493
11.35174058,0.089439144,0.032037937,0.025570273,0.056800627
39.80812657,0.197081177,0.019893592,0.138450063,0.106828
42.43515344,0.209562735,0.010409438,0.145858136,0.109292344
33.59021088,0.188591991,0.028105482,0.100810218,0.100576464
14.42694898,0.109154067,0.014920194,0.035957666,0.066186791
23.20475994,0.125993834,0.033772843,0.049602833,0.08503295
21.10984158,0.113902134,0.14839232,0.041763977,0.081258399
26.74524178,0.178221608,0,0.068025927,0.091663944
40.06713975,0.203996357,0,0.139416902,0.107125951
27.51449881,0.165762597,0,0.086093254,0.092541466
21.37880072,0.108971968,0.192690261,0.046080211,0.081502966
37.38985983,0.18782441,0.003122831,0.131055389,0.10440547
44.84473479,0.23111486,0.003816794,0.143508612,0.111573813
39.95672492,0.214538055,0.029609068,0.111312301,0.107405465
12.39348417,0.089511106,0.012722646,0.026181528,0.060077052
25.14942007,0.141612778,0.027989822,0.061997158,0.088587021
41.505783,0.221753641,0,0.127734169,0.108789065
40.40960646,0.217944027,0,0.115263153,0.107827078
13.73372981,0.107734279,0.005204719,0.037534319,0.064269167
40.46931178,0.211721173,0,0.116951321,0.107718623
26.3751547,0.17615275,0,0.064951616,0.091096975
24.18184733,0.151049574,0.014920194,0.067634369,0.087329637
24.50930046,0.134952331,0.01087208,0.052623015,0.087354223
20.86100169,0.147210962,0,0.047235775,0.081344835
35.05361713,0.201350954,0.086629655,0.106784878,0.102360622
23.84713023,0.128398786,0.015845478,0.049763719,0.086253856
28.50590687,0.134303611,0.035045108,0.058391524,0.093424951
40.84868917,0.203212062,0.029840389,0.13673409,0.107935092
37.18260969,0.187259694,0.027180199,0.1295621,0.104250198
38.83340747,0.195991489,0.016308119,0.134482247,0.105916277
39.32444834,0.195712137,0.00011566,0.137392376,0.106338779
23.20440431,0.11926413,0.124797594,0.047471946,0.085114596
25.94688899,0.155768507,0,0.058634221,0.090121129
37.78298809,0.189054072,0,0.133475327,0.104799065
17.20755944,0.118970043,0.009368494,0.056567114,0.073187758
24.37667836,0.164652705,0,0.065635038,0.087788478
23.48108633,0.143166287,0.000346981,0.079921816,0.08589989
18.05436643,0.138016749,0,0.045631823,0.075377904
42.63056461,0.218464261,0,0.137130169,0.109621601
10.81704402,0.087045115,0.075179274,0.022974556,0.055045766
41.78181086,0.201284923,0.011566042,0.147210952,0.108607812
