degree,clustering_coef,betweenness,eigenvector,closeness
38.53289437,0.20188551,0.014226232,0.12904234,0.105767411
39.36104537,0.209820694,0,0.115661576,0.106705157
36.56363651,0.203747819,0,0.101688146,0.103996307
9.757849021,0.074971503,0.094378904,0.017790572,0.051336708
16.67769318,0.113119469,0.041637752,0.034649443,0.071913302
35.22178119,0.19391434,0,0.114840422,0.102386998
11.53497589,0.081700956,0.046495489,0.022329676,0.057339409
39.42546325,0.205736894,0.013879251,0.129607869,0.106663636
30.82342055,0.172090563,0,0.072464219,0.097029794
25.77988101,0.153757536,0,0.058192608,0.089892889
21.65859724,0.13765734,0.014920194,0.068321366,0.082673935
34.66405935,0.187068625,0,0.117338646,0.101628588
21.03804577,0.126540928,0.011566042,0.042084376,0.081444713
25.48723994,0.138486196,0.023479065,0.051816052,0.089272712
31.07094357,0.171598612,0.012260005,0.072824279,0.097389137
17.22501381,0.111605562,0.014573213,0.033870426,0.073226259
36.86557591,0.210740268,0,0.101697634,0.104416375
23.69490301,0.124797002,0.03573907,0.048203322,0.086078115
