Id,Label,timeset,modularity_class,node_size,modularity_class_liver
28,28,,1,1,0
55,55,,1,2,0
159,159,,1,2,0
29,29,,8,1,1
35,35,,8,1,5
226,226,,8,1,1
327,327,,8,1,5
339,339,,8,1,1
375,375,,8,1,
491,491,,8,1,5
61,61,,1,2,0
386,386,,1,2,5
473,473,,1,1,0
33,33,,9,1,1
48,48,,9,1,1
315,315,,9,1,1
377,377,,9,1,1
382,382,,9,4,0
384,384,,9,1,5
471,471,,9,1,5
41,41,,5,2,5
370,370,,5,1,5
135,135,,8,1,0
258,258,,8,1,0
268,268,,8,1,5
431,431,,8,1,5
435,435,,8,1,1
296,296,,0,1,0
328,328,,5,1,0
467,467,,5,1,5
399,399,,1,1,0
274,274,,1,2,0
227,227,,0,1,1
389,389,,0,2,1
277,277,,2,1,5
95,95,,9,1,3
255,255,,0,1,5
51,51,,7,1,5
63,63,,7,1,5
166,166,,15,1,5
149,149,,8,2,1
272,272,,0,1,1
392,392,,0,1,1
321,321,,1,1,0
60,60,,8,1,0
86,86,,8,2,0
64,64,,8,1,2
75,75,,8,1,1
84,84,,8,1,0
195,195,,8,2,5
201,201,,8,1,5
213,213,,8,1,0
222,222,,8,2,5
230,230,,8,1,5
286,286,,8,1,5
320,320,,8,2,4
347,347,,8,1,0
367,367,,8,2,5
385,385,,8,2,5
459,459,,8,1,1
463,463,,8,1,5
470,470,,8,1,5
480,480,,8,2,5
65,65,,1,2,0
74,74,,15,1,0
143,143,,15,1,0
245,245,,15,1,5
77,77,,8,4,5
186,186,,8,1,5
205,205,,8,1,5
269,269,,8,1,
308,308,,8,2,5
314,314,,8,1,0
332,332,,8,2,5
340,340,,8,1,5
345,345,,8,1,1
349,349,,8,1,5
350,350,,8,1,0
369,369,,8,1,5
372,372,,8,1,0
424,424,,8,1,5
427,427,,8,2,5
462,462,,8,2,5
464,464,,8,1,5
466,466,,8,1,5
484,484,,8,1,0
76,76,,0,1,5
298,298,,8,1,1
423,423,,8,1,5
354,354,,0,2,0
360,360,,0,1,5
329,329,,9,2,1
114,114,,9,1,1
105,105,,9,1,1
299,299,,9,2,1
388,388,,9,1,1
161,161,,8,1,1
118,118,,13,2,5
182,182,,13,1,5
123,123,,8,1,5
208,208,,8,1,5
211,211,,8,1,1
126,126,,10,1,0
337,337,,10,2,5
127,127,,12,1,5
209,209,,12,2,5
224,224,,12,1,5
237,237,,12,1,5
324,324,,12,1,5
129,129,,16,2,
210,210,,16,1,5
130,130,,11,1,5
190,190,,11,3,
287,287,,8,1,5
364,364,,8,2,1
401,401,,8,1,5
442,442,,8,2,1
139,139,,8,1,1
144,144,,12,1,5
243,243,,12,1,0
165,165,,13,2,5
279,279,,13,1,5
300,300,,13,2,5
357,357,,13,1,
181,181,,16,1,5
301,301,,16,1,5
317,317,,13,1,5
383,383,,8,1,5
489,489,,0,2,5
198,198,,14,1,5
281,281,,14,1,5
219,219,,16,1,5
291,291,,16,1,0
456,456,,16,1,0
335,335,,8,1,5
241,241,,13,1,5
316,316,,13,1,5
306,306,,15,1,5
474,474,,15,1,5
457,457,,0,1,0
267,267,,8,1,0
359,359,,8,1,5
485,485,,4,1,5
288,288,,12,2,5
363,363,,16,1,0
437,437,,9,1,1
436,436,,2,2,5
361,361,,17,3,5
455,455,,17,1,5
422,422,,5,1,5
449,449,,8,1,5
475,475,,6,1,5
434,434,,18,1,0
478,478,,18,1,5
479,479,,15,1,5
8,8,,0,1,
37,37,,0,1,
50,50,,0,1,
92,92,,0,1,
116,116,,0,1,
148,148,,0,1,
199,199,,0,1,
242,242,,0,2,
247,247,,0,1,
276,276,,0,1,
290,290,,0,1,
387,387,,0,2,
433,433,,0,1,
451,451,,0,1,
460,460,,0,1,
483,483,,0,1,
115,115,,0,2,
172,172,,0,2,
20,20,,1,1,
174,174,,5,3,
25,25,,5,2,
58,58,,5,1,
381,381,,5,1,
231,231,,5,1,
278,278,,5,1,
253,253,,1,3,
177,177,,5,1,
257,257,,5,1,
319,319,,5,1,
412,412,,5,3,
318,318,,5,1,
394,394,,5,1,
137,137,,5,2,
150,150,,5,1,
391,391,,5,1,
446,446,,5,1,
283,283,,5,2,
304,304,,5,2,
232,232,,5,4,
420,420,,5,1,
346,346,,5,1,
472,472,,5,1,
398,398,,5,2,
397,397,,5,1,
445,445,,5,1,
409,409,,6,1,
