Id,Label,timeset,modularity_class,node_size
441,441,,0,2
60,60,,6,1
213,213,,6,1
61,61,,2,1
230,230,,2,1
500,500,,1,1
63,63,,0,1
80,80,,6,1
139,139,,6,1
181,181,,6,1
201,201,,6,1
250,250,,6,1
345,345,,6,1
363,363,,6,1
405,405,,6,1
329,329,,3,1
353,353,,3,2
415,415,,3,2
498,498,,3,1
521,521,,3,1
545,545,,3,1
178,178,,3,2
318,318,,3,1
309,309,,3,1
420,420,,3,2
477,477,,3,2
480,480,,3,1
556,556,,3,2
140,140,,6,2
165,165,,6,1
195,195,,6,1
200,200,,6,1
223,223,,6,1
320,320,,6,1
335,335,,6,1
379,379,,3,1
407,407,,3,2
529,529,,8,2
87,87,,4,1
101,101,,4,1
394,394,,1,1
231,231,,1,1
401,401,,8,1
123,123,,7,2
291,291,,7,2
343,343,,7,1
361,361,,7,1
447,447,,7,1
419,419,,0,1
151,151,,7,1
311,311,,7,1
495,495,,8,1
127,127,,6,1
323,323,,6,1
349,349,,6,1
149,149,,6,1
191,191,,6,2
240,240,,6,1
274,274,,6,1
325,325,,6,1
331,331,,6,1
241,241,,6,1
256,256,,6,3
183,183,,0,2
470,470,,0,2
519,519,,8,1
541,541,,8,1
554,554,,0,1
390,390,,8,2
457,457,,8,1
278,278,,6,1
344,344,,6,2
295,295,,6,1
365,365,,6,1
356,356,,8,1
371,371,,8,3
378,378,,8,1
399,399,,8,1
485,485,,8,1
411,411,,6,1
453,453,,3,2
236,236,,5,1
517,517,,5,1
254,254,,8,1
350,350,,8,1
382,382,,8,3
432,432,,8,1
451,451,,8,1
465,465,,8,1
469,469,,8,2
472,472,,8,1
482,482,,8,1
483,483,,8,1
508,508,,8,1
514,514,,8,1
520,520,,8,1
525,525,,8,1
530,530,,8,1
532,532,,8,1
534,534,,8,1
538,538,,8,2
543,543,,8,1
546,546,,8,1
557,557,,8,1
263,263,,6,2
436,436,,1,1
362,362,,6,1
282,282,,6,1
351,351,,6,1
393,393,,6,1
406,406,,6,1
409,409,,6,2
515,515,,6,1
300,300,,8,1
425,425,,8,2
293,293,,8,1
381,381,,8,1
509,509,,1,1
305,305,,7,1
467,467,,8,1
507,507,,8,2
330,330,,7,1
448,448,,7,1
479,479,,8,1
503,503,,8,1
539,539,,6,1
444,444,,8,1
475,475,,7,1
364,364,,7,1
384,384,,7,3
435,435,,7,1
484,484,,8,1
535,535,,7,1
430,430,,6,1
526,526,,1,1
473,473,,6,1
440,440,,8,1
540,540,,8,1
450,450,,8,2
461,461,,8,1
454,454,,6,1
544,544,,6,1
459,459,,8,2
499,499,,9,1
547,547,,9,1
502,502,,6,1
537,537,,6,1
510,510,,10,1
518,518,,10,1
