Id,Label,timeset,modularity_class,node_size,modularity_class_Bone
310,310,,1,1,6
315,315,,1,1,9
329,329,,1,2,9
331,331,,1,1,1
364,364,,1,2,8
388,388,,1,1,9
437,437,,1,1,9
442,442,,1,2,8
490,490,,1,1,4
120,120,,5,1,0
33,33,,1,1,9
35,35,,5,1,8
118,118,,5,2,13
41,41,,5,2,5
268,268,,5,1,8
307,307,,5,1,0
308,308,,5,2,8
334,334,,5,1,6
349,349,,5,1,8
453,453,,5,2,0
487,487,,5,1,0
43,43,,5,1,6
69,69,,5,1,0
85,85,,5,1,6
180,180,,5,2,0
195,195,,5,2,8
218,218,,5,1,0
287,287,,5,1,8
316,316,,5,1,13
326,326,,5,1,1
333,333,,5,1,2
358,358,,5,1,1
365,365,,5,1,6
370,370,,5,1,5
378,378,,5,1,6
383,383,,5,1,8
421,421,,5,3,5
448,448,,5,1,0
485,485,,5,1,4
46,46,,5,1,2
58,58,,5,1,1
66,66,,5,1,2
111,111,,5,2,2
144,144,,5,1,12
224,224,,5,1,12
277,277,,5,1,2
424,424,,5,1,8
436,436,,5,2,2
167,167,,1,1,0
381,381,,5,1,
76,76,,5,1,0
281,281,,5,1,14
317,317,,5,1,13
254,254,,1,2,0
285,285,,1,1,0
417,417,,1,1,0
435,435,,1,1,8
279,279,,5,1,13
455,455,,5,3,17
231,231,,5,1,
278,278,,5,1,
64,64,,2,1,8
311,311,,2,1,0
410,410,,2,1,6
463,463,,5,1,8
428,428,,1,1,1
444,444,,1,2,0
359,359,,5,1,8
253,253,,1,3,
130,130,,5,1,11
177,177,,5,1,
181,181,,5,1,16
186,186,,5,1,8
198,198,,5,1,14
209,209,,5,2,12
257,257,,5,1,
319,319,,5,1,
356,356,,5,2,0
77,77,,5,4,8
412,412,,5,3,
427,427,,5,2,8
450,450,,5,1,1
489,489,,5,2,0
491,491,,5,1,8
79,79,,5,1,0
94,94,,5,1,0
123,123,,5,1,8
208,208,,5,1,8
318,318,,5,1,
337,337,,5,2,10
367,367,,5,2,8
386,386,,5,2,1
394,394,,5,1,
400,400,,5,1,1
419,419,,5,1,1
430,430,,5,1,6
431,431,,5,1,8
447,447,,5,2,0
486,486,,5,1,0
303,303,,1,3,0
482,482,,1,1,0
91,91,,5,2,0
152,152,,5,1,6
361,361,,5,3,17
369,369,,5,1,8
105,105,,1,1,9
149,149,,1,2,8
371,371,,1,1,0
443,443,,1,1,1
320,320,,4,2,8
131,131,,1,1,0
212,212,,1,1,1
299,299,,1,2,9
210,210,,5,1,16
243,243,,5,1,
288,288,,5,2,12
137,137,,5,2,
150,150,,5,1,
182,182,,5,1,13
237,237,,5,1,12
324,324,,5,1,12
459,459,,1,1,8
138,138,,5,1,0
201,201,,5,1,8
222,222,,5,2,8
230,230,,5,1,8
384,384,,5,1,9
385,385,,5,2,8
391,391,,5,1,
401,401,,5,1,8
407,407,,5,1,4
414,414,,5,1,6
426,426,,5,1,1
446,446,,5,1,
464,464,,5,1,8
467,467,,5,1,5
470,470,,5,1,8
475,475,,5,1,6
141,141,,5,1,0
458,458,,5,1,1
154,154,,5,1,6
165,165,,5,2,13
205,205,,5,1,8
327,327,,5,1,8
343,343,,5,1,6
162,162,,5,2,2
283,283,,5,2,
340,340,,5,1,8
176,176,,5,1,0
301,301,,5,1,16
178,178,,1,1,0
300,300,,5,2,13
304,304,,5,2,
352,352,,1,1,1
187,187,,5,1,0
395,395,,5,1,0
449,449,,5,1,8
477,477,,5,2,6
478,478,,5,1,18
480,480,,5,2,8
474,474,,5,1,15
479,479,,5,1,15
255,255,,5,1,0
379,379,,5,4,0
423,423,,5,1,
306,306,,5,1,15
466,466,,5,1,8
471,471,,5,1,9
286,286,,5,1,8
245,245,,5,1,15
462,462,,5,2,8
232,232,,5,4,
241,241,,5,1,13
429,429,,5,1,5
261,261,,5,1,5
262,262,,5,1,6
420,420,,5,1,6
406,406,,5,1,6
393,393,,5,2,0
346,346,,5,1,
472,472,,5,1,
398,398,,5,2,
397,397,,5,1,
432,432,,6,1,0
335,335,,5,1,8
339,339,,1,1,8
445,445,,5,1,
409,409,,6,1,
